evaluations raw_y
1 0.0000000000
4 172.0000000000
5 245.0000000000
7 307.0000000000
8 440.0000000000
10 467.0000000000
18 501.0000000000
20 504.0000000000
54 512.0000000000
64 521.0000000000
78 522.0000000000
91 523.0000000000
232 526.0000000000
274 527.0000000000
279 532.0000000000
301 544.0000000000
700 547.0000000000
801 549.0000000000
1322 555.0000000000
1778 556.0000000000
1865 559.0000000000
2971 561.0000000000
5821 563.0000000000
6490 565.0000000000
8824 567.0000000000
10000 550.0000000000
