evaluations raw_y
1 683231.1253718953
2 685628.0284180362
3 692453.8874335568
4 693954.8270267112
7 698323.1636845869
12 701728.6923440826
19 715527.0112752496
53 721789.0886500623
102 725442.3699316907
105 733325.2534739471
121 742691.1686162249
237 748695.8237967136
270 751856.2849498120
319 752407.2658765970
329 753030.0202593294
353 759634.7917238808
394 759774.3564411759
429 767271.7438893687
461 767465.8932103859
466 768869.6713558632
479 783990.2282211994
525 786139.6030314281
582 786653.4121031174
594 790797.5849940573
629 790838.9060773297
659 791652.7496444106
684 795004.5907616176
689 799424.6609597185
717 800610.4070753582
761 808741.1441412520
840 811678.5203172010
851 811708.5967614864
921 816619.6718125654
952 825027.6177190974
1064 826812.1087862641
1086 829129.0020338675
1153 829720.2565488465
1165 833394.2541338968
1185 834319.2069029544
1205 836752.6435269178
1221 842940.2886407144
1236 844574.4184621989
1255 851710.9489334899
1377 852613.4655183139
1383 855062.1907341660
1401 857509.5002528069
1457 857631.2967657468
1467 863925.2698223845
1516 873624.4576471359
1671 875191.3441537938
1702 878306.7566770032
1753 880771.4915808198
1824 885167.9097387475
1843 886452.1225731577
1866 886595.8681260556
1901 887166.4498032187
1913 888965.9996022565
1916 891888.8978583869
2002 895704.6375983814
2067 896023.0465358389
2071 897093.2406355478
2103 902091.3029341160
2163 904898.0514486632
2257 906565.5214236937
2268 907882.0449602654
2269 911702.8112994554
2321 913330.1660944204
2361 913420.5085090793
2384 916771.8852445468
2386 917315.3856014590
2410 917557.7055713733
2424 922181.2488026967
2458 922271.6209217933
2484 922659.4385120784
2509 927195.2057972922
2631 927745.1000318036
2667 928248.1514179978
2716 930913.2859975728
2726 932159.4078600085
2741 932592.3012554476
2756 934678.8071818989
2847 935161.4138870151
2855 935520.4227956815
2864 940174.2817840298
2937 941771.5084221417
2972 942061.8481989841
2986 943698.7724277844
3017 944343.8100467214
3044 944368.8456886692
3050 944419.6911346109
3068 944931.8105400568
3070 946528.5371247157
3117 948426.6961765332
3176 950230.2315034391
3217 951569.3971457398
3256 952230.9118845222
3290 953069.0221451699
3300 953354.1026471832
3307 955021.8411638505
3346 955271.2577186931
3353 956256.6816931292
3371 956530.9337436886
3402 957576.6711645074
3406 957928.3281859678
3420 958488.3214752054
3459 958577.1518588908
3484 961105.6366474493
3508 961651.1360092273
3559 962276.4311964897
3601 963631.9006709080
3613 964005.0300780097
3618 964946.3753816263
3636 965235.8152897811
3653 968015.2208447811
3701 969333.7867967092
3751 969454.1019944292
3755 969594.2265269146
3763 971697.3032563678
3840 972370.6366432376
3878 972435.0969419637
3918 973048.6400485534
3951 975904.5198069832
4019 976263.6292882061
4061 977756.8917993829
4069 978399.2324137804
4109 979310.6700135268
4175 979698.5590644098
4211 981916.1093756229
4271 982048.4050321587
4301 983029.3289212306
4310 983330.5586191153
4347 983998.7286167257
4377 985518.2465648283
4390 986181.0950449342
4449 986922.9459305003
4502 987786.2308646371
4556 988326.5633400428
4591 988939.4476127581
4594 989206.4839365899
4623 989791.2018161190
4666 990162.6458237725
4716 990323.0469929710
4729 991019.5833236064
4743 991301.2200073153
4750 992057.7896141117
4802 994368.1228752076
4827 995269.5680238891
4925 995889.4743565083
4930 996481.3547338917
4931 996539.0195996983
4991 996635.9620917111
5010 996773.6571600517
5039 998718.1172228709
5124 999873.1944638240
5200 1000142.1693514300
5206 1000637.7835472146
5252 1001868.2204767081
5317 1002115.9462910957
5336 1003793.2497815136
5368 1004462.7601550992
5468 1005080.7982794228
5517 1006306.7863050116
5546 1006547.8866872665
5666 1007093.7590400568
5677 1008173.9907185250
5713 1009243.9573301518
5737 1009373.0752251890
5739 1011089.4084501750
