evaluations raw_y
1 -300745.1000000000
2 -300622.1000000000
3 -298704.1000000000
4 -298014.1000000000
8 -296170.1000000000
9 -296139.1000000000
11 -295310.1000000000
12 -293190.1000000000
14 -291818.1000000000
15 -290846.1000000000
16 -287954.1000000000
17 -284638.1000000000
18 -283679.1000000000
19 -281799.1000000000
20 -281333.1000000000
21 -281277.1000000000
22 -281138.1000000000
23 -279368.1000000000
24 -278682.1000000000
27 -278195.1000000000
31 -277890.1000000000
34 -277500.1000000000
35 -277025.1000000000
40 -277021.1000000000
42 -276335.1000000000
45 -276010.1000000000
51 -275784.1000000000
53 -275384.1000000000
54 -275103.1000000000
55 -274981.1000000000
56 -274779.1000000000
57 -273883.1000000000
58 -273516.1000000000
60 -272765.1000000000
65 -269888.1000000000
67 -269176.1000000000
68 -268724.1000000000
69 -266141.1000000000
70 -265366.1000000000
71 -265193.1000000000
74 -264911.1000000000
76 -264323.1000000000
81 -261435.1000000000
84 -260561.1000000000
88 -260559.1000000000
89 -257628.1000000000
91 -255754.1000000000
94 -255118.1000000000
97 -253326.1000000000
99 -252354.1000000000
100 -248606.1000000000
101 -247160.1000000000
103 -244832.1000000000
104 -244219.1000000000
106 -243282.1000000000
118 -241802.1000000000
119 -241331.1000000000
120 -240556.1000000000
124 -239581.1000000000
129 -239159.1000000000
133 -238226.1000000000
135 -237482.1000000000
136 -237280.1000000000
144 -236792.1000000000
145 -236058.1000000000
146 -234880.1000000000
149 -234292.1000000000
151 -231840.1000000000
163 -231020.1000000000
165 -229604.1000000000
171 -226312.1000000000
173 -225853.1000000000
176 -225507.1000000000
178 -224977.1000000000
181 -224733.1000000000
183 -224529.1000000000
187 -223942.1000000000
188 -221680.1000000000
190 -221313.1000000000
201 -221312.1000000000
207 -220483.1000000000
210 -219409.1000000000
211 -218686.1000000000
213 -218206.1000000000
218 -214622.1000000000
223 -214256.1000000000
230 -214045.1000000000
234 -213418.1000000000
236 -212475.1000000000
238 -212469.1000000000
239 -210707.1000000000
241 -209786.1000000000
249 -208905.1000000000
252 -207679.1000000000
253 -206939.1000000000
256 -206350.1000000000
259 -205506.1000000000
261 -203670.1000000000
262 -200130.1000000000
265 -198952.1000000000
267 -198026.1000000000
273 -197914.1000000000
275 -196940.1000000000
282 -195420.1000000000
290 -194679.1000000000
295 -194059.1000000000
297 -193703.1000000000
300 -192151.1000000000
303 -191391.1000000000
312 -190454.1000000000
316 -189582.1000000000
320 -187942.1000000000
324 -187571.1000000000
326 -186634.1000000000
328 -186628.1000000000
331 -184742.1000000000
352 -183919.1000000000
364 -183467.1000000000
370 -182877.1000000000
384 -181003.1000000000
386 -180924.1000000000
392 -180862.1000000000
395 -178862.1000000000
397 -177862.1000000000
421 -175502.1000000000
423 -174514.1000000000
426 -173567.1000000000
428 -170675.1000000000
430 -170025.1000000000
438 -168159.1000000000
446 -168065.1000000000
447 -167877.1000000000
453 -167053.1000000000
456 -166588.1000000000
461 -165898.1000000000
468 -164346.1000000000
482 -162838.1000000000
500 -162015.1000000000
510 -162013.1000000000
516 -161773.1000000000
526 -160964.1000000000
529 21653.4102384528
532 21934.6698499098
536 22036.3316141049
539 22129.0899025060
542 22210.1027879983
543 22303.7031983337
576 22403.4212824517
587 22602.7292691255
695 23001.3397196145
698 23092.3345304715
711 23097.8904491473
717 23188.9065754564
718 23289.4918846995
722 23362.1100975463
736 23445.6922577990
932 23557.0855307584
941 23560.2090887581
944 23665.8103494649
946 23866.8747751579
949 24230.3738207609
967 24331.2026008002
980 24408.0165780555
1047 24495.9006962554
1443 24595.5545874957
10000 -161318.1000000000
