evaluations raw_y
1 0.0000000000
4 25.6500000000
5 35.4400000000
6 50.4700000000
10 62.7700000000
16 84.9300000000
27 100.3500000000
28 125.7300000000
50 134.4200000000
101 144.0200000000
104 154.6300000000
114 154.8700000000
120 169.9100000000
139 183.1600000000
206 200.3200000000
254 203.8900000000
264 209.6000000000
293 215.1000000000
309 233.7200000000
320 242.0100000000
421 248.2900000000
440 374.4000000000
473 398.1500000000
495 400.6100000000
501 400.7600000000
506 511.5300000000
564 526.3700000000
690 527.0700000000
713 532.5500000000
773 535.7500000000
1344 554.7100000000
1978 557.4000000000
2108 563.2600000000
2258 564.0000000000
2368 569.3100000000
4108 571.7700000000
4248 572.9600000000
7566 637.0700000000
10000 522.9300000000
