evaluations raw_y
1 -2112797.0000000005
3 -2111792.0000000005
6 -2110786.0000000005
7 -2109777.0000000005
8 -2108776.0000000005
11 -2107775.0000000005
12 -2106770.0000000005
13 -2105763.0000000005
20 -2104762.0000000005
21 -2103754.0000000005
27 -2102753.0000000005
36 -2101746.0000000005
37 -2100738.0000000005
38 -2099732.0000000005
39 -2098732.0000000005
40 -2097723.0000000005
42 -2096721.0000000005
45 -2095716.0000000005
46 -2094707.0000000005
47 -2093699.0000000005
48 -2092699.0000000005
49 -2091694.0000000005
50 -2090687.0000000005
51 -2089687.0000000005
52 -2088686.0000000005
54 -2087686.0000000005
61 -2086684.0000000005
62 -2085679.0000000005
63 -2084673.0000000005
73 -2083664.0000000005
77 -2082659.0000000005
78 -2081655.0000000005
80 -2080648.0000000005
82 -2079640.0000000005
89 -2078631.0000000005
92 -2077622.0000000005
99 -2076618.0000000005
101 -2075618.0000000005
103 -2074618.0000000005
104 -2073616.0000000005
105 310985.2653241745
174 311001.0826760416
175 311815.2208059991
176 311820.0239992058
178 312515.4944895341
228 312551.4843503837
229 313215.2053576566
268 313240.3498356657
269 313699.7002113996
272 313706.9230277586
274 313946.7154910482
318 313959.0504868705
319 314049.8622511298
337 314061.3235310445
342 314098.9836063564
415 314100.8114338034
418 314990.2912438273
616 315032.3201368561
620 315917.9173910369
628 315926.4459104270
629 316555.8579765565
933 316557.6077241601
934 317416.1217714411
1084 317444.6564123853
1085 318224.2576527799
1165 318256.6641227178
1168 318617.0336666482
1253 318627.0190683032
1256 319087.8990391432
1265 319114.5125602439
1266 319989.0424280050
1613 320025.1036551209
1614 320378.0762129461
1663 320378.5541020229
1667 321006.7330496361
2708 321027.3505797823
2710 321231.6522187233
2898 321241.1672886562
2900 321980.7901043240
3068 321981.7782109866
3069 322825.8623710920
4254 322839.2275829338
4255 323231.5495592839
10000 -2073640.0000000005
