evaluations raw_y
1 0.0000000000
3 120.0000000000
4 177.0000000000
5 250.0000000000
7 290.0000000000
8 347.0000000000
9 348.0000000000
18 386.0000000000
79 390.0000000000
100 399.0000000000
104 402.0000000000
122 406.0000000000
146 407.0000000000
150 423.0000000000
222 426.0000000000
640 428.0000000000
692 429.0000000000
2163 431.0000000000
2193 432.0000000000
2648 433.0000000000
2984 434.0000000000
3393 436.0000000000
3615 439.0000000000
7297 440.0000000000
7420 441.0000000000
7482 442.0000000000
10000 411.0000000000
