instance,alg,pop,diversity,run,best,n_evals,time
2100,single,10,fitness_sharing,26,423.0,10000,4.513856649398804
2100,single,10,fitness_sharing,27,423.0,10000,3.9707529544830322
2100,single,10,fitness_sharing,28,414.0,10000,3.8916096687316895
2100,single,10,fitness_sharing,29,419.0,10000,4.059926986694336
2100,single,10,tournament,0,426.0,10000,0.7171480655670166
2100,single,10,tournament,1,422.0,10000,0.5941007137298584
2100,single,10,tournament,2,421.0,10000,0.8228509426116943
2100,single,10,tournament,3,423.0,10000,0.7430970668792725
2100,single,10,tournament,4,420.0,10000,0.7682657241821289
2100,single,10,tournament,5,430.0,10000,0.7986369132995605
2100,single,10,tournament,6,412.0,10000,0.7179651260375977
2100,single,10,tournament,7,418.0,10000,0.7350523471832275
2100,single,10,tournament,8,427.0,10000,0.7925271987915039
2100,single,10,tournament,9,425.0,10000,0.734224796295166
2100,single,10,tournament,10,422.0,10000,0.7845447063446045
2100,single,10,tournament,11,421.0,10000,0.7578995227813721
2100,single,10,tournament,12,415.0,10000,0.7033898830413818
2100,single,10,tournament,13,419.0,10000,0.7340066432952881
2100,single,10,tournament,14,423.0,10000,0.7432470321655273
2100,single,10,tournament,15,413.0,10000,0.7796263694763184
2100,single,10,tournament,16,424.0,10000,0.73636794090271
2100,single,10,tournament,17,419.0,10000,0.8117320537567139
2100,single,10,tournament,18,426.0,10000,0.7109062671661377
2100,single,10,tournament,19,425.0,10000,0.8200085163116455
2100,single,10,tournament,20,423.0,10000,0.7412567138671875
2100,single,10,tournament,21,426.0,10000,0.7731192111968994
2100,single,10,tournament,22,418.0,10000,0.8126323223114014
2100,single,10,tournament,23,413.0,10000,0.7741212844848633
2100,single,10,tournament,24,422.0,10000,0.8115622997283936
2100,single,10,tournament,25,429.0,10000,0.7189335823059082
2100,single,10,tournament,26,423.0,10000,0.8026115894317627
2100,single,10,tournament,27,420.0,10000,0.7438983917236328
2100,single,10,tournament,28,418.0,10000,0.6937148571014404
2100,single,10,tournament,29,417.0,10000,0.7861096858978271
2100,single,20,random_replacement,0,-6.0,10000,0.5084919929504395
2100,single,20,random_replacement,1,-2.0,10000,0.5077197551727295
2100,single,20,random_replacement,2,416.0,10000,0.6905269622802734
2100,single,20,random_replacement,3,403.0,10000,0.648686408996582
2100,single,20,random_replacement,4,388.0,10000,0.538818359375
2100,single,20,random_replacement,5,416.0,10000,0.7177565097808838
2100,single,20,random_replacement,6,-2.0,10000,0.509605884552002
2100,single,20,random_replacement,7,389.0,10000,0.5910813808441162
2100,single,20,random_replacement,8,405.0,10000,0.6683366298675537
2100,single,20,random_replacement,9,394.0,10000,0.5611166954040527
2100,single,20,random_replacement,10,401.0,10000,0.5854582786560059
2100,single,20,random_replacement,11,414.0,10000,0.6230733394622803
2100,single,20,random_replacement,12,-2.0,10000,0.48348188400268555
