evaluations raw_y
1 0.0000000000
5 3.4700000000
6 10.9000000000
7 23.3700000000
13 27.7300000000
23 39.4200000000
36 53.0400000000
39 59.3000000000
40 67.0300000000
41 77.0600000000
63 77.8700000000
64 91.4300000000
75 95.9900000000
79 100.8000000000
81 119.4900000000
109 121.0500000000
122 129.4900000000
139 132.3800000000
201 143.1500000000
384 146.4300000000
423 151.2900000000
452 158.4900000000
564 163.3000000000
576 165.4200000000
613 170.3200000000
816 176.2600000000
1115 182.9700000000
1120 183.2400000000
1122 202.6800000000
1132 204.1200000000
1155 210.8700000000
1156 221.3000000000
1160 242.0800000000
1164 242.3000000000
1168 262.3700000000
1183 271.3900000000
1265 273.1300000000
1295 286.4800000000
1511 303.4500000000
1615 309.1100000000
2050 312.0900000000
2458 394.7300000000
2461 396.4100000000
2464 419.9800000000
2537 436.1700000000
2764 439.3400000000
2899 444.7800000000
2929 566.5300000000
8684 571.4400000000
8845 573.8700000000
10000 438.7700000000
