evaluations raw_y
1 -348.0000000000
6 -347.0000000000
30 -344.0000000000
56 -338.0000000000
73 -334.0000000000
108 -323.0000000000
149 -322.0000000000
181 -308.0000000000
265 -306.0000000000
271 -295.0000000000
404 -292.0000000000
434 -291.0000000000
448 -290.0000000000
479 -284.0000000000
514 -283.0000000000
529 -281.0000000000
548 -278.0000000000
555 -275.0000000000
631 -272.0000000000
658 -258.0000000000
804 -253.0000000000
851 -249.0000000000
858 -248.0000000000
860 -235.0000000000
932 -233.0000000000
1052 -231.0000000000
1076 -226.0000000000
1123 -225.0000000000
1204 -220.0000000000
1230 -217.0000000000
1240 -214.0000000000
1253 -211.0000000000
1261 -209.0000000000
1301 -207.0000000000
1384 -201.0000000000
1426 -200.0000000000
1454 -192.0000000000
1564 -188.0000000000
1609 -186.0000000000
1630 -185.0000000000
1701 -180.0000000000
1773 -175.0000000000
1804 -171.0000000000
1900 -170.0000000000
1905 -167.0000000000
1960 -162.0000000000
2066 -161.0000000000
2080 -158.0000000000
2212 -156.0000000000
2227 -155.0000000000
2252 -154.0000000000
2253 -152.0000000000
2279 -151.0000000000
2316 -149.0000000000
2402 -146.0000000000
2504 -144.0000000000
2552 -142.0000000000
2650 -141.0000000000
2673 -140.0000000000
2681 -139.0000000000
2694 -133.0000000000
2811 -131.0000000000
2911 -129.0000000000
2929 -127.0000000000
2956 -126.0000000000
3004 -122.0000000000
3153 -116.0000000000
3266 -115.0000000000
3320 -113.0000000000
3408 -110.0000000000
3537 -109.0000000000
3601 -107.0000000000
3678 -106.0000000000
3690 -103.0000000000
3826 -102.0000000000
3853 -101.0000000000
3858 -100.0000000000
3966 -98.0000000000
3993 -97.0000000000
4017 -95.0000000000
4071 -93.0000000000
4191 -92.0000000000
4201 -91.0000000000
4267 -90.0000000000
4399 -89.0000000000
4423 -88.0000000000
4452 -87.0000000000
4565 -84.0000000000
4757 -81.0000000000
4883 -80.0000000000
4891 -79.0000000000
5005 -76.0000000000
5231 -75.0000000000
5275 -74.0000000000
5293 -73.0000000000
5373 -72.0000000000
5516 -70.0000000000
5679 -68.0000000000
5865 -67.0000000000
5908 -66.0000000000
6034 -65.0000000000
6136 -64.0000000000
6164 -63.0000000000
6357 -62.0000000000
6377 -59.0000000000
6436 -58.0000000000
6536 -57.0000000000
6660 -55.0000000000
6758 -54.0000000000
6919 -53.0000000000
6928 -51.0000000000
6957 -50.0000000000
7036 -48.0000000000
7126 -47.0000000000
7223 -46.0000000000
7263 -45.0000000000
7348 -44.0000000000
7477 -42.0000000000
7588 -41.0000000000
7806 -40.0000000000
7872 -39.0000000000
7955 -38.0000000000
8020 -37.0000000000
8060 -36.0000000000
8175 -34.0000000000
8295 -33.0000000000
8421 -32.0000000000
8450 -31.0000000000
8563 -29.0000000000
8673 -27.0000000000
8801 -25.0000000000
9257 -23.0000000000
9433 -22.0000000000
9581 -21.0000000000
9648 -20.0000000000
9751 -19.0000000000
9917 -18.0000000000
10000 -26.0000000000
