evaluations raw_y
56 110.4100000000
79 114.9500000000
88 125.0800000000
123 125.8100000000
127 141.3000000000
177 149.7700000000
248 153.8700000000
430 157.7200000000
564 159.3700000000
598 160.3900000000
617 172.7600000000
642 175.2600000000
669 176.1300000000
682 176.2000000000
691 200.8900000000
755 201.5000000000
767 224.6100000000
891 362.6500000000
2138 370.5300000000
2163 390.6000000000
3079 395.3500000000
5237 404.5900000000
5391 406.9200000000
5405 407.2600000000
5417 410.2100000000
5431 417.5500000000
5440 420.7800000000
5465 430.1300000000
5491 439.2500000000
5572 449.8300000000
5825 494.0700000000
5839 503.5500000000
5842 511.0100000000
5917 512.0900000000
6063 515.9800000000
6094 525.0200000000
7972 526.5500000000
7986 529.3300000000
8055 557.1700000000
10386 557.5400000000
12116 578.6100000000
12121 579.6800000000
12180 580.1900000000
12217 582.7800000000
12275 595.2900000000
18003 631.7800000000
18007 657.9800000000
18012 659.7800000000
18023 668.6100000000
18046 679.6000000000
18085 684.4700000000
18735 685.2200000000
18944 698.9600000000
19980 701.2600000000
19983 708.1200000000
20000 733.1500000000
20170 737.8800000000
20186 763.0800000000
20197 767.8900000000
20204 774.7600000000
20218 796.9800000000
25552 798.5400000000
27491 801.2600000000
27904 803.1400000000
28257 808.2500000000
28722 810.0200000000
29894 829.7500000000
37656 832.4700000000
37701 846.9700000000
43130 860.8200000000
43998 861.6100000000
65693 863.2200000000
72395 863.7000000000
88749 865.5400000000
88823 867.5500000000
100000 5.7000000000
evaluations raw_y
1 0.0000000000
6 10.2400000000
7 10.8500000000
8 17.7500000000
9 20.4600000000
10 22.2100000000
11 32.4400000000
14 32.5000000000
15 42.6800000000
16 58.9500000000
24 64.4000000000
25 70.2100000000
35 84.6500000000
37 96.2900000000
38 116.5700000000
49 144.6900000000
169 156.9200000000
186 162.7300000000
310 167.3300000000
319 173.6400000000
360 184.0100000000
1229 185.4500000000
1979 205.3800000000
1985 220.6900000000
1990 230.2000000000
2034 238.6400000000
2177 245.1600000000
2236 249.3600000000
2605 249.6800000000
2642 249.7200000000
2819 251.4600000000
2822 259.9200000000
2958 260.9900000000
3183 262.5200000000
3243 266.5500000000
3275 365.9400000000
3655 382.2300000000
3745 382.2700000000
3762 390.5300000000
3926 396.0700000000
4134 406.6400000000
4550 413.4000000000
4771 416.6100000000
5185 423.5900000000
6301 423.6700000000
7341 425.2900000000
8576 429.4500000000
8586 436.8100000000
8608 440.2100000000
8628 445.0800000000
8638 453.2600000000
8640 456.7900000000
8655 460.1400000000
8663 463.0100000000
8859 468.2300000000
9338 469.6600000000
9372 471.0300000000
10055 535.3300000000
10594 540.8800000000
10625 543.8300000000
10636 547.7900000000
10638 551.8700000000
10654 553.6700000000
10673 559.6700000000
10736 561.4500000000
10748 579.5400000000
10863 580.7200000000
11009 589.7200000000
11210 666.1500000000
11212 666.8300000000
11218 677.3100000000
11273 685.7300000000
11348 686.4100000000
11551 686.4600000000
11870 686.7000000000
13709 690.1900000000
17622 691.7800000000
20146 693.3500000000
20418 702.3300000000
20780 708.2100000000
21401 722.1100000000
21491 724.2500000000
21681 726.2100000000
21696 728.6900000000
22213 732.6700000000
22241 733.6000000000
22400 738.8100000000
24028 738.9400000000
25494 739.8400000000
25548 741.8100000000
25994 743.7300000000
26215 747.3500000000
26675 748.5700000000
27218 750.9300000000
29028 754.6600000000
29593 757.4800000000
30022 762.9800000000
43705 764.8600000000
43737 770.5700000000
43738 775.5000000000
43751 783.4200000000
43956 784.8800000000
44436 793.3400000000
44563 812.1000000000
50964 814.4600000000
80362 816.5100000000
80391 826.6900000000
81257 828.9100000000
82403 834.8900000000
83935 837.0900000000
86533 840.6300000000
100000 492.4200000000
evaluations raw_y
1 0.0000000000
4 8.3700000000
5 12.2700000000
7 24.9000000000
9 61.7700000000
11 88.1800000000
22 99.8900000000
47 101.4900000000
101 103.2400000000
104 118.1100000000
127 120.1500000000
133 126.2800000000
234 211.1700000000
235 212.0200000000
248 214.4600000000
256 218.4600000000
343 226.6300000000
448 240.2900000000
877 287.5000000000
894 303.5900000000
910 306.7300000000
957 307.8500000000
972 311.2100000000
1084 324.5600000000
1571 392.2100000000
2878 430.9500000000
5905 431.7900000000
5949 437.8100000000
6359 440.4100000000
6566 445.0000000000
7475 445.5200000000
7660 459.5500000000
9806 507.2700000000
13153 507.7900000000
13214 523.9000000000
13437 529.9700000000
15246 541.5200000000
15339 541.7400000000
15363 555.7800000000
15773 558.1400000000
15808 562.1800000000
15918 565.4700000000
16007 567.7500000000
16111 567.8000000000
16195 573.5700000000
16304 576.5000000000
16477 578.2900000000
17753 585.8700000000
18088 636.4600000000
18101 637.6400000000
18207 637.9000000000
18240 640.1200000000
18272 647.2700000000
18624 649.5200000000
19058 651.6300000000
19331 653.1400000000
21733 655.9600000000
22589 657.0000000000
22629 658.0800000000
22647 659.8700000000
22858 663.8600000000
24002 673.7200000000
24946 727.2500000000
24951 733.3000000000
25026 747.2100000000
25049 749.6900000000
25115 766.3500000000
26328 767.2100000000
27464 767.8300000000
28668 777.1400000000
28684 780.0000000000
28688 780.5200000000
28702 794.2800000000
28966 794.6300000000
33112 799.3300000000
44524 817.8600000000
56872 821.0900000000
56883 822.7400000000
56886 824.2400000000
56962 830.8900000000
57023 834.1900000000
57804 840.6400000000
59710 841.4800000000
59829 844.1400000000
62136 850.2100000000
65858 855.9900000000
100000 6.6400000000
evaluations raw_y
1 0.0000000000
4 23.6100000000
7 47.1900000000
13 56.9300000000
17 58.9900000000
24 62.3800000000
27 68.3100000000
33 78.6500000000
57 83.5400000000
59 86.2600000000
69 106.0100000000
82 136.1600000000
108 159.6000000000
130 176.9200000000
507 178.9900000000
531 183.8400000000
541 261.7700000000
572 292.2800000000
617 301.8900000000
632 302.2200000000
643 319.0100000000
732 324.7400000000
752 325.9400000000
864 338.8700000000
979 425.1900000000
989 430.9100000000
991 431.6900000000
999 436.4500000000
1016 437.8000000000
1090 441.3800000000
1111 445.2900000000
1121 453.5100000000
1343 458.0000000000
1508 458.6000000000
1568 460.1200000000
1577 469.4000000000
2072 489.8900000000
2131 499.1100000000
2718 532.6900000000
3237 607.6200000000
3253 612.0200000000
3258 620.8300000000
3283 627.3600000000
3287 639.7400000000
4303 642.5500000000
4790 650.0600000000
4950 651.0500000000
5017 653.9400000000
5689 654.1800000000
5795 745.9100000000
5804 756.4000000000
5841 761.4700000000
5869 764.3100000000
5892 768.2800000000
6951 770.8200000000
8544 772.0900000000
10134 777.7200000000
30240 782.9700000000
30364 783.8900000000
30668 787.5500000000
30738 798.3400000000
30784 810.5000000000
30809 819.8700000000
30932 820.4600000000
31060 825.4100000000
31199 826.5400000000
31278 827.8800000000
31376 828.4100000000
31457 829.7400000000
31765 834.7100000000
32503 834.8300000000
32837 847.8700000000
44602 849.0100000000
56477 853.9000000000
100000 2.8700000000
