evaluations raw_y
1 0.0000000000
4 96.0000000000
6 208.0000000000
7 319.0000000000
17 364.0000000000
19 388.0000000000
42 396.0000000000
75 402.0000000000
102 410.0000000000
153 414.0000000000
187 416.0000000000
207 418.0000000000
310 419.0000000000
414 420.0000000000
440 421.0000000000
542 422.0000000000
550 424.0000000000
750 426.0000000000
941 430.0000000000
1022 431.0000000000
1211 434.0000000000
1603 435.0000000000
1713 436.0000000000
2590 438.0000000000
3432 442.0000000000
10000 375.0000000000
