instance,alg,pop,diversity,run,best,n_evals,time
2202,single,10,fitness_sharing,19,-335.0,41344,2.829524040222168
2202,single,10,fitness_sharing,20,-328.0,26937,1.8607177734375
2202,single,10,fitness_sharing,21,-342.0,11920,0.8234992027282715
2202,single,10,fitness_sharing,22,-308.0,26735,1.8343963623046875
2202,single,10,fitness_sharing,23,-336.0,34859,2.3879406452178955
2202,single,10,fitness_sharing,24,-327.0,16474,1.1384317874908447
2202,single,10,fitness_sharing,25,-324.0,35098,2.403473138809204
2202,single,10,fitness_sharing,26,-337.0,61542,4.212273597717285
2202,single,10,fitness_sharing,27,-325.0,45768,3.142125368118286
2202,single,10,fitness_sharing,28,-331.0,40996,2.80647349357605
2202,single,10,fitness_sharing,29,-320.0,46046,3.1725308895111084
2202,single,10,tournament,0,-322.0,22087,1.5239834785461426
2202,single,10,tournament,1,-336.0,48792,3.3473763465881348
2202,single,10,tournament,2,-325.0,39928,2.7324726581573486
2202,single,10,tournament,3,-310.0,10000,0.8278131484985352
2202,single,10,tournament,4,-320.0,25554,1.7414007186889648
2202,single,10,tournament,5,-338.0,15611,1.07401704788208
2202,single,10,tournament,6,-337.0,27147,1.8552539348602295
2202,single,10,tournament,7,-325.0,33737,2.31498646736145
2202,single,10,tournament,8,-330.0,31882,2.238248586654663
2202,single,10,tournament,9,-334.0,43057,2.9482266902923584
2202,single,10,tournament,10,-327.0,89263,6.122565746307373
2202,single,10,tournament,11,-336.0,36798,2.5297656059265137
2202,single,10,tournament,12,-331.0,34841,2.40616512298584
2202,single,10,tournament,13,-325.0,25848,1.772125005722046
2202,single,10,tournament,14,-322.0,34751,2.375471830368042
2202,single,10,tournament,15,-331.0,33452,2.2926876544952393
2202,single,10,tournament,16,-337.0,32198,2.206869125366211
2202,single,10,tournament,17,-318.0,39479,2.692023754119873
2202,single,10,tournament,18,-335.0,22185,1.520470380783081
2202,single,10,tournament,19,-309.0,37145,2.533379316329956
2202,single,10,tournament,20,-323.0,51568,3.546332597732544
2202,single,10,tournament,21,-330.0,54113,3.690647840499878
2202,single,10,tournament,22,-324.0,43061,2.9514389038085938
2202,single,10,tournament,23,-349.0,56456,3.857032299041748
2202,single,10,tournament,24,-319.0,45597,3.1271374225616455
2202,single,10,tournament,25,-214.0,10000,1.8784799575805664
2202,single,10,tournament,26,-325.0,32740,2.2357230186462402
2202,single,10,tournament,27,-324.0,29814,2.0432205200195312
2202,single,10,tournament,28,-334.0,50453,3.4523937702178955
2202,single,10,tournament,29,-318.0,42009,2.8787589073181152
