evaluations raw_y
1 -197.0000000000
14 -192.0000000000
60 -184.0000000000
100 -175.0000000000
280 -167.0000000000
364 -163.0000000000
376 -160.0000000000
384 -159.0000000000
415 -158.0000000000
449 -157.0000000000
475 -150.0000000000
560 -146.0000000000
605 -144.0000000000
615 -140.0000000000
662 -136.0000000000
677 -132.0000000000
728 -127.0000000000
798 -125.0000000000
812 -124.0000000000
833 -123.0000000000
861 -120.0000000000
914 -116.0000000000
974 -114.0000000000
1017 -111.0000000000
1090 -108.0000000000
1114 -104.0000000000
1158 -103.0000000000
1161 -102.0000000000
1270 -101.0000000000
1305 -94.0000000000
1405 -93.0000000000
1452 -90.0000000000
1491 -89.0000000000
1562 -88.0000000000
1580 -84.0000000000
1606 -83.0000000000
1705 -80.0000000000
1765 -79.0000000000
1782 -78.0000000000
1818 -76.0000000000
1851 -75.0000000000
1872 -74.0000000000
1886 -73.0000000000
1913 -72.0000000000
1971 -70.0000000000
2034 -69.0000000000
2084 -68.0000000000
2104 -65.0000000000
2119 -64.0000000000
2124 -62.0000000000
2200 -59.0000000000
2257 -58.0000000000
2271 -57.0000000000
2339 -52.0000000000
2488 -48.0000000000
2563 -47.0000000000
2603 -46.0000000000
2636 -45.0000000000
2772 -44.0000000000
2823 -43.0000000000
2908 -40.0000000000
3008 -38.0000000000
3053 -33.0000000000
3219 -31.0000000000
3308 -30.0000000000
3414 -29.0000000000
3556 -28.0000000000
3577 -27.0000000000
3715 -25.0000000000
3781 -24.0000000000
3791 -21.0000000000
3953 -20.0000000000
4083 -19.0000000000
4165 -17.0000000000
4327 -16.0000000000
4478 -14.0000000000
4632 -12.0000000000
4757 -11.0000000000
4829 -9.0000000000
5152 -8.0000000000
5217 -6.0000000000
5276 -5.0000000000
5482 -4.0000000000
5613 -3.0000000000
5760 -2.0000000000
5934 -1.0000000000
6078 397.0000000000
6303 401.0000000000
6328 404.0000000000
6568 405.0000000000
6675 407.0000000000
6973 413.0000000000
7259 415.0000000000
7750 416.0000000000
7962 418.0000000000
8850 421.0000000000
10000 -4.0000000000
